(3333333333000000033000000033000000033000000033000000033000000033000000033333333332631, 'right') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333332731, 'down') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333333731, 'left') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333333631, 'up') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333333731, 'right') : -100
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336162, 'up') : 0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335162, 'left') : -100
(3333333333000000033000000033000000033000000033000000033000000033000000033333333337564, 'up') : 49.9999976085155
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336564, 'right') : 17.498851825
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336664, 'left') : 50.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336564, 'up') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335564, 'right') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335664, 'down') : 25.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336664, 'up') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335664, 'left') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335564, 'down') : 49.8785
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335564, 'up') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333334564, 'right') : 1.5502814755253276
(3333333333000000033000000033000000033000000033000000033000000033000000033333333334664, 'down') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335664, 'right') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335764, 'up') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333334764, 'left') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335664, 'up') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336664, 'right') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336764, 'up') : 4.368375102256519
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335764, 'down') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336764, 'left') : 24.926492477398988
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336764, 'right') : -100
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336654, 'right') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336754, 'down') : 1.0626118673653435
(3333333333000000033000000033000000033000000033000000033000000033000000033333333337754, 'right') : -100
(3333333333000000033000000033000000033000000033000000033000000033000000033333333333141, 'left') : -100.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333337611, 'down') : -100.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333337621, 'left') : 0.19530132667977657
(3333333333000000033000000033000000033000000033000000033000000033000000033333333337521, 'up') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336521, 'left') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336421, 'left') : 1.5625
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336321, 'up') : 3.125
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335321, 'down') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335321, 'right') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335421, 'down') : 0.7810166352877874
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336421, 'right') : 0.04630938007971523
(3333333333000000033000000033000000033000000033000000033000000033000000033333333336521, 'up') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335521, 'left') : 1.5618488818322827
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335421, 'left') : 3.1249815471875
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335321, 'up') : 6.25
(3333333333000000033000000033000000033000000033000000033000000033000000033333333334321, 'left') : 8.348218274112499
(3333333333000000033000000033000000033000000033000000033000000033000000033333333334221, 'left') : 24.999163145253853
(3333333333000000033000000033000000033000000033000000033000000033000000033333333334121, 'up') : 49.99999999999962
(3333333333000000033000000033000000033000000033000000033000000033000000033333333333121, 'down') : 0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333333121, 'up') : 100.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333331167, 'right') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333331267, 'down') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333332267, 'right') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333332367, 'left') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333332367, 'up') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333331367, 'left') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333332267, 'down') : 0.35533396964052233
(3333333333000000033000000033000000033000000033000000033000000033000000033333333333267, 'left') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333333167, 'right') : 0.39058281721371474
(3333333333000000033000000033000000033000000033000000033000000033000000033333333333267, 'down') : 0.7812499151177645
(3333333333000000033000000033000000033000000033000000033000000033000000033333333334267, 'up') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333334267, 'down') : 1.5624999999996696
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335267, 'left') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335167, 'right') : 1.4218747428949214
(3333333333000000033000000033000000033000000033000000033000000033000000033333333335167, 'up') : 0.0
(3333333333000000033000000033000000033000000033000000033000000033000000033333333334167, 'right') : 0.0
